true_label,pred_label,passage,question,model_reason
False,False,"A peace bond can be issued by a criminal court judge or a Justice of the Peace. A peace bond is usually issued when the Crown Prosecutor is convinced that a strong case does not exist against the accused. A person does not plead guilty when they enter into a peace bond. Thus, there is no finding of guilt or conviction registered if a person agrees to sign a peace bond. One of the reasons why a person may agree to enter into a peace bond is to avoid a criminal trial, and ultimately the possibility of being convicted in a court of law of the offence for which they were charged. Being convicted in a court of law would entail receiving a criminal record.",do peace bonds show up on criminal record checks,"Peace bonds result in no finding of guilt and no conviction registered, which means they do not show up on criminal record checks."
False,False,"This version of the fairy tale character has been very well received by film critics and the public, and is considered one of Disney's most iconic and menacing villains. Besides in the film, the Evil Queen has made numerous appearances in Disney attractions and productions, including not only these directly related to the tale of Snow White, such as Fantasmic!, The Kingdom Keepers and Kingdom Hearts Birth by Sleep, sometimes appearing in them alongside Maleficent from Sleeping Beauty. The film's version of the Queen has also become a popular archetype that influenced a number of artists and non-Disney works.",are maleficent and the evil queen the same,"Maleficent and the Evil Queen are distinct characters; Maleficent is from 'Sleeping Beauty' while the Evil Queen is from 'Snow White'. Although they may appear together in some contexts, they are not the same character."
True,True,"Second-generation antihistamines cross the blood--brain barrier to a much lower degree than the first-generation antihistamines. Their main benefit is they primarily affect peripheral histamine receptors and therefore are less sedating. However, high doses can still induce drowsiness through acting on the central nervous system. Some second-generation antihistamines, notably cetirizine, can interact with CNS psychoactive drugs such as bupropion and benzodiazepines.",do second generation antihistamines cross the blood brain barrier,"The facts state that second generation antihistamines do cross the blood-brain barrier, albeit to a lower degree than first generation antihistamines."
False,False,"Recent UCLA graduate Shane Black wrote the screenplay in mid-1985. Black stated that his intention was to do an ``urban western'' inspired by Dirty Harry where a violent character ``reviled for what he did, what he is capable of, the things he believed in'' is eventually recruited for being the one that could solve the problem. The protagonists would be everymen policemen, ``guys shuffling in a town like Los Angeles searching for something noble as justice when they're just guys in washed and worn suits seeking a paycheck''.",is lethal weapon based on a true story,The provided facts do not indicate that 'Lethal Weapon' is based on a true story; they focus on the screenplay's inspiration and character details.
True,True,"In 1993, GM released new Dexron-III fluid (GM Spec GM6417M and later GMN10055). It is generally backward-compatible with transmissions using earlier Dexron fluids or Type-A/Suffix-A fluid. However this specification failed to address a number of issues concerning long term durability such as shear stability and fluid oxidation. Dexron-III underwent a number of iterations in an attempt to address various shortcomings but was eventually replaced by new thinking i.e. DEXRON-VI.",can i use dexron iii for dexron ii,"Dexron III is backward compatible with Dexron II, allowing it to be used as a substitute."
False,False,"A warrant officer (WO) is an officer in a military organisation who is designated an officer by a warrant, as distinguished from a commissioned officer who is designated an officer by a commission, and a non-commissioned officer who is designated an officer, often by virtue of seniority.",is a warrant officer a commissioned officer in the army,"A warrant officer is distinguished from a commissioned officer, indicating that they are not the same type of officer in the army."
True,True,"Corporate governance is the mechanisms, processes and relations by which corporations are controlled and directed. Governance structures and principles identify the distribution of rights and responsibilities among different participants in the corporation (such as the board of directors, managers, shareholders, creditors, auditors, regulators, and other stakeholders) and includes the rules and procedures for making decisions in corporate affairs. Corporate governance includes the processes through which corporations' objectives are set and pursued in the context of the social, regulatory and market environment. Governance mechanisms include monitoring the actions, policies, practices, and decisions of corporations, their agents, and affected stakeholders. Corporate governance practices are affected by attempts to align the interests of stakeholders. Interest in the corporate governance practices of modern corporations, particularly in relation to accountability, increased following the high-profile collapses of a number of large corporations during 2001--2002, most of which involved accounting fraud; and then again after the recent financial crisis in 2008.",corporate governance is the system that directs and controls business corporations,"The claim accurately reflects the definition and role of corporate governance as it is described in the provided facts, which state that corporate governance is responsible for directing and controlling corporations."
True,True,"Bull is an American drama television series starring Michael Weatherly. CBS ordered the program to series on May 13, 2016, and it premiered on September 20, 2016. The show is based on the early days of talk show host Dr. Phil McGraw's career, when he was a trial consultant. On October 17, 2016, CBS picked up the series for a full 22 episode season. An additional episode was ordered in November. On March 23, 2017, CBS renewed the series for a second season, which premiered on September 26, 2017. On April 18, 2018, CBS renewed the series for a third season.",is the series bull based on dr phil,"The claim states that the series 'Bull' is based on Dr. Phil, and the provided facts indicate that Dr. Phil McGraw has a career as a trial consultant, which suggests that the show 'Bull' is inspired by his work."
True,True,"British interests had to overcome obstacles of geography and climate, and the competing imperial schemes of the French and Portuguese mentioned above and of the Germans. In 1891, Germany secured the strategically critical territory of German East Africa, which along with the mountainous rainforest of the Belgian Congo precluded the building of a Cape-to-Cairo railway.",was germany in a position to block a british dream of building a railroad,"Germany was in a position to block the British dream of building a railroad because it secured territory in German East Africa, which was strategically critical for the Cape to Cairo Railway, and British interests competed with German imperial schemes."
True,True,"The October Revolution (Russian: Октя́брьская револю́ция, tr. Oktyabr'skaya revolyutsiya, IPA: (ɐkˈtjabrjskəjə rjɪvɐˈljutsɨjə)), officially known in Soviet literature as the Great October Socialist Revolution (Вели́кая Октя́брьская социалисти́ческая револю́ция, Velikaya Oktyabr'skaya sotsialističeskaya revolyutsiya), and commonly referred to as Red October, the October Uprising, the Bolshevik Revolution, or the Bolshevik Coup, was a revolution in Russia led by the Bolsheviks and Vladimir Lenin that was instrumental in the larger Russian Revolution of 1917. It took place with an armed insurrection in Petrograd on 7 November (25 October, Old Style) 1917.",is the october revolution the same as the bolshevik revolution,"The October Revolution is commonly referred to as the Bolshevik Revolution, indicating that they are the same event."
False,False,"The seventh and penultimate season of the fantasy drama television series Game of Thrones premiered on HBO on July 16, 2017, and concluded on August 27, 2017. Unlike previous seasons that consisted of ten episodes each, the seventh season consisted of only seven. Like the previous season, it largely consisted of original content not found in George R.R. Martin's A Song of Ice and Fire series, while also incorporating material Martin revealed to showrunners about the upcoming novels in the series. The series was adapted for television by David Benioff and D.B. Weiss.",did game of thrones end in season 7,"Game of Thrones concluded on August 27, 2017, which indicates that it continued beyond season 7."
True,True,"``Money for Nothing'' is a single by British rock band Dire Straits, taken from their 1985 studio album Brothers in Arms. The song's lyrics are written from the point of view of two working-class men watching music videos and commenting on what they see. The song features a guest appearance by Sting singing background vocals, providing both the signature falsetto introduction and backing chorus of ``I want my MTV.'' The groundbreaking video was the first to be aired on MTV Europe when the network launched on 1 August 1987.",did sting sing with dire straits money for nothing,"The facts state that Sting provides background vocals, a signature falsetto introduction, and backing chorus for the song 'Money for Nothing' by Dire Straits, confirming that he sang on the track."
True,True,"Based on the U.S. Department of State regulation on dual citizenship (7 FAM 082), the Supreme Court of the United States has stated that dual citizenship is a ``status long recognized in the law'' and that ``a person may have and exercise rights of nationality in two countries and be subject to the responsibilities of both. The mere fact he asserts the rights of one citizenship does not, without more, mean that he renounces the other'', Kawakita v. U.S., 343 U.S. 717 (1952). In Schneider v. Rusk, 377 U.S. 163 (1964), the U.S. Supreme Court ruled that a naturalized U.S. citizen has the right to return to his native country and to resume his former citizenship, and also to remain a U.S. citizen even if he never returns to the United States.",is it legal to be a dual citizen in the us,"The facts indicate that dual citizenship is recognized in U.S. law, allowing a person to have rights and responsibilities in two countries."
True,True,"The show has been renewed for a second season, with Sean Bean appearing as Jacopo de' Pazzi. It is broadcast in several countries around the world, on SFR's premium SVOD service Zive in France and Sky 1 in Germany. Netflix carries the show in the US, Canada, Argentina on Fox Premium, the UK, Ireland and India. In Australia, the series was broadcast by SBS. In Portugal, the series was broadcast by RTP1. In Serbia the series was broadcast by RTS2.",is there a season 2 of medici masters of florence,The fact 'Show renewedForSeason SecondSeason' confirms that there is indeed a season 2 of 'Medici: Masters of Florence'.
False,False,"In November 2003, Trump denied that the project had been delayed or that it was suffering from a lack of financing. Trump also said he was considering ``something on a larger scale'' for the project. In July 2004, Ruffin said the project had been delayed up to that point because of other business ventures, including Trump's reality television show, The Apprentice. That month, Trump and Ruffin announced revised plans for Trump International Hotel and Tower, a $300 million condominium-hotel with over 1,000 units. Although Trump held a Nevada gaming license, he chose not to include a casino on the property. Donald Trump's son, Eric Trump, later said, ``We have no problem getting a gaming license, but we wanted to do something different here. We wanted a true luxury resort experience. It's hard to have a high-quality product when you walk into 'ding, ding, ding' and there are people walking around in Hawaiian shirts with big plastic drink mugs.''",is there a casino in the trump hotel las vegas,The facts state that Trump chose not to include a casino in the Trump International Hotel and Tower.
True,True,"The early 2000s saw a marked period of growth as AIG acquired American General Corporation, a leading domestic life insurance and annuities provider, and AIG entered new markets including India. In February 2000, AIG created a strategic advisory venture team with the Blackstone Group and Kissinger Associates ``to provide financial advisory services to corporations seeking high level independent strategic advice.'' AIG was an investor in Blackstone from 1998 to March 2012, when it sold all of its shares in the company. Blackstone acted as an adviser for AIG during the 2007-2008 financial crisis.",is american general life insurance part of aig,"AIG acquired American General Corporation, which indicates that American General Life Insurance is part of AIG."
True,False,"There are no survivors; Linda reads the eulogy at the memorial, followed by her remembering Billy's voice soliloquising about what it means to be a swordboat captain.",does the crew die in the perfect storm,The provided facts do not indicate that the crew dies in the perfect storm; they focus on Linda's memories and conversations about Billy and a swordboat captain.
False,False,"The coyote (Canis latrans); from Nahuatl pronunciation (help info)) is a canine native to North America. It is smaller than its close relative, the gray wolf, and slightly smaller than the closely related eastern wolf and red wolf. It fills much of the same ecological niche as the golden jackal does in Eurasia, though it is larger and more predatory, and is sometimes called the American jackal by zoologists.",is a coyote part of the cat family,"Coyotes are classified as Canines, which means they belong to the dog family, not the cat family."
True,True,"The New York Post is the fourth-largest newspaper in the United States and a leading digital media publisher that reached more than 57 million unique visitors in the U.S. in January 2017. The New York Post also operates the celebrity gossip site PageSix.com, the entertainment site Decider.com, and co-produces the television show Page Six TV, which garnered the highest ratings of a nationally syndicated entertainment newsmagazine in a decade when it debuted in 2017.",is the new york post still in business,"The facts indicate that the New York Post is a digital media publisher with a significant number of unique visitors, which suggests it is still operational."
False,False,"Good Times is an American sitcom that aired on CBS from February 8, 1974, to August 1, 1979. Created by Eric Monte and Mike Evans, and developed by Norman Lear, the series' primary executive producer, it was television's first African American two-parent family sitcom. Good Times was billed as a spin-off of Maude, which was itself a spin-off of All in the Family.",was good times a spin off of the jeffersons,"Good Times is a spin-off of Maude, which is itself a spin-off of All in the Family, not The Jeffersons."
False,False,"In 2011, screenwriter Noxon told Collider.com that plans for an imminent sequel were shelved due to the disappointing performance of the first installment at the box office.",is there a second movie of i am number 4,"The first installment of 'I Am Number Four' was shelved due to disappointing box office performance, indicating that a second movie was not produced."
True,True,"A live-action film, with Reese Witherspoon playing Tinker Bell and Victoria Strouse writing the script, is in the works.",are there going to be any more tinkerbell movies,The fact that a live-action film featuring Tinker Bell is in development suggests that there will be more Tinker Bell movies.
True,True,"In ``Wanheda: Part Two,'' attackers on a jeep turn out to be Arkers who landed separately. Their numbers have dwindled to 63 due to conflict with the community called Ice Nation and they accept Kane's offer to come to Arkadia, where the other Sky People live. Part of the group continue to search for Clarke, who has been on the run for three months due to now being a legend and subsequent target because of her defeat of the Mountain Men after Lexa's betrayal. This has earned her the nickname ``Wanheda'' (commander of death). Indra, one of Lexa's best and most trusted warriors, warns Lexa that the Ice Nation is marching on her; Indra is there when bounty hunter Roan (the banished Ice Nation prince) brings Clarke to Lexa, who sought to capture Clarke before members of Ice Nation did. Still angry at Lexa for her betrayal, Clarke is dragged out kicking and screaming while vowing revenge on Lexa.",is lexa in season 3 of the 100,"The facts indicate that Lexa is involved in the events surrounding Clarke, including capturing her and having a significant role in the conflict, which implies her presence in season 3 of The 100."
False,False,"The station only operates on digital networks and so has no allocated analogue radio signal. Instead it is broadcast over the internet on the BBC website, on services such as Radioplayer and TuneIn and for users of IPTV's. It is also available on digital radio (on which it is broadcast monophonically) and television services including digital terrestrial provider Freeview, cable television providers including Virgin Media and on satellite television providers Freesat and Sky who receive their signal from the Astra 2E satellite. The pan-European nature of this satellite means that the signal can be received across northern Europe.",can i get radio 4 extra on fm,"The facts state that the station operates on digital networks and has no analogue radio signal, which means it cannot be received on FM."
True,False,"Life Is Strange 2 is an episodic graphic adventure video game developed by Dontnod Entertainment and published by Square Enix. It is the second main entry of the Life Is Strange series. The first of five episodes was released on 27 September 2018 for Microsoft Windows, PlayStation 4, and Xbox One. Episodes from the series will be released for macOS and Linux by Feral Interactive in 2019.",is life is strange 2 related to 1,"The provided facts do not indicate any direct relationship between Life Is Strange 2 and the first game in the series. While Life Is Strange 2 is a main entry in the Life Is Strange series, there is no information confirming a narrative or thematic connection to the first game."
True,False,The second season is scheduled to air sometime in 2019.,is there going to be a final space season 2,"The claim states there will be a final season 2, but the fact indicates that the second season was scheduled to air in 2019, implying it has already occurred."
True,True,"In the largest Latter Day Saint denomination, The Church of Jesus Christ of Latter-day Saints (LDS Church), bishops are called from among the members of a local congregation, known as a ward, and traditionally serve, without pay, for four to seven years (the length of service varies). A bishop must be a married high priest in the Melchizedek priesthood. The bishop acts as the presiding high priest of the ward. A bishop simultaneously serves as the president of the Aaronic priesthood and president of the priests quorum in the ward. In a branch, the branch president fulfills the same functions as a bishop; however, a branch president does not need to be a high priest.",do you have to be married to be an lds bishop,"The facts state that a bishop must be a married high priest, which implies that being married is a requirement to be an LDS bishop."
True,False,"Per capita income is often used to measure an area's average income. This is used to see the wealth of the population with those of others. Per capita income is often used to measure a country's standard of living. It is usually expressed in terms of a commonly used international currency such as the euro or United States dollar, and is useful because it is widely known, is easily calculable from readily available gross domestic product (GDP) and population estimates, and produces a useful statistic for comparison of wealth between sovereign territories. This helps to ascertain a country's development status. It is one of the three measures for calculating the Human Development Index of a country.",is per capita income a true index of economic development,"While per capita income is a measure of average income and can indicate standard of living, it does not encompass all aspects of economic development, such as health, education, and inequality, which are also important factors."
True,True,"Never Let Me Go is a 2005 dystopian science fiction novel by Nobel Prize-winning British author Kazuo Ishiguro. It was shortlisted for the 2005 Booker Prize (an award Ishiguro had previously won in 1989 for The Remains of the Day), for the 2006 Arthur C. Clarke Award and for the 2005 National Book Critics Circle Award. Time magazine named it the best novel of 2005 and included the novel in its TIME 100 Best English-language Novels from 1923 to 2005. It also received an ALA Alex Award in 2006. A film adaptation directed by Mark Romanek was released in 2010; a Japanese television drama aired in 2016.",is never let me go a dystopian novel,The facts state that 'Never Let Me Go' is categorized as a Dystopian Science Fiction novel.
False,False,"By March 2015, after not playing any matches, India reached their lowest FIFA ranking position of 173. A couple months prior, Stephen Constantine was re-hired as the head coach after first leading India more than a decade before. Constantine's first major assignment back as the India head coach were the 2018 FIFA World Cup qualifiers. After making it through the first round of qualifiers, India crashed out during the second round, losing seven of their eight matches and thus, once again, failed to qualify for the World Cup.",did india qualify for football world cup 2018,India failed to qualify for the World Cup after being eliminated in the second round of qualifiers.
False,False,"The EF of the left heart, known as the left ventricular ejection fraction (LVEF), is calculated by dividing the volume of blood pumped from the left ventricle per beat (stroke volume) by the volume of blood collected in the left ventricle at the end of diastolic filling (end-diastolic volume). LVEF is an indicator of the effectiveness of pumping into the systemic circulation. The EF of the right heart, or right ventricular ejection fraction (RVEF), is a measure of the efficiency of pumping into the pulmonary circulation. A heart which cannot pump sufficient blood to meet the body's requirements (i.e., heart failure) will often, but not invariably, have a reduced ventricular ejection fraction.",are stroke volume and ejection fraction the same,"Stroke volume and ejection fraction are not the same; stroke volume is the amount of blood pumped by the heart per beat, while ejection fraction is a percentage that indicates the effectiveness of the heart's pumping ability, calculated using stroke volume and end-diastolic volume."
False,False,"A 3-way lamp, also known as a tri-light, is a lamp that uses a 3-way light bulb to produce three levels of light in a low-medium-high configuration. A 3-way lamp requires a 3-way bulb and socket, and a 3-way switch. Unlike an incandescent lamp controlled by a dimmer, each of the filaments operates at full voltage, so the color of the light does not change between the three steps of light available. Certain compact fluorescent lamp bulbs are designed to replace 3-way incandescent bulbs, and have an extra contact and circuitry to bring about similar light level. In recent years, LED three way bulbs have become available as well.",can you use a one way bulb in a three way socket,"A 3WayLamp requires a 3WayBulb to function properly, and using a one way bulb in a three way socket would not provide the necessary functionality."
True,True,"Rogue One: A Star Wars Story, or simply Rogue One, is a 2016 American epic space opera film directed by Gareth Edwards. The screenplay by Chris Weitz and Tony Gilroy is from a story by John Knoll and Gary Whitta. It was produced by Lucasfilm and distributed by Walt Disney Studios Motion Pictures. It is the first installment of the Star Wars Anthology series, set immediately before the events of the original Star Wars film, and follows a group of rebels on a mission to steal the plans for the Death Star, the Galactic Empire's superweapon. The cast includes Felicity Jones, Diego Luna, Ben Mendelsohn, Donnie Yen, Mads Mikkelsen, Alan Tudyk, Riz Ahmed, Jiang Wen and Forest Whitaker.",is rogue one part of the star wars,"Rogue One is explicitly stated to be part of the Star Wars Anthology Series, confirming its connection to the Star Wars franchise."
True,True,"Sierra Mist is a lemon-lime flavored soft drink line. Originally introduced by PepsiCo in 1999, it was eventually made available in all United States markets by 2003. The drink was rebranded as Mist Twst in 2016, although it reverted to Sierra Mist in 2018. The brand is aimed at competing with The Coca-Cola Company's Sprite brand and Dr Pepper Snapple Group's 7 Up.",is sierra mist and mist twist the same,"Sierra Mist and Mist Twst are the same product, as Mist Twst is the rebranded name of Sierra Mist from 2016 until it reverted back to Sierra Mist in 2018."
False,False,"The 1916 New York Giants hold the record for the longest unbeaten streak in MLB history at 26, with a tie in-between the 14th and 15th win. The record for the longest winning streak by an American League team is held by the 2017 Cleveland Indians at 22. The Chicago Cubs franchise has won 21 games twice, once in 1880 when they were the Chicago White Stockings and once in 1935.",has any major league baseball team gone undefeated,"No major league baseball team has gone undefeated; the 1916 New York Giants had an unbeaten streak but it included ties, and the longest winning streak recorded is not the same as being undefeated."
True,True,"Emetophobia is a phobia that causes overwhelming, intense anxiety pertaining to vomiting. This specific phobia can also include subcategories of what causes the anxiety, including a fear of vomiting in public, a fear of seeing vomit, a fear of watching the action of vomiting or fear of being nauseated. It is common for emetophobics to be underweight, or even anorexic, due to strict diets and restrictions they make for themselves. The thought of someone possibly vomiting can cause the phobic person to engage in extreme behaviors to escape the perceived (and sometimes very real) threat of that particular situation, in which the phobic person will go to great lengths to avoid even potential situations that could even be perceived as ``threatening''.",is there such thing as a phobia of vomit,The claim is true because emetophobia is specifically defined as a phobia related to vomiting.
True,True,"So far, two nuclear weapons have been used in the course of warfare, both by the United States near the end of World War II. On August 6, 1945, a uranium gun-type device (code name ``Little Boy'') was detonated over the Japanese city of Hiroshima. Three days later, on August 9, a plutonium implosion-type device (code name ``Fat Man'') was detonated over the Japanese city of Nagasaki. These two bombings resulted in the deaths of approximately 120,000 people.",has there ever been a nuclear bomb set off,"The facts indicate that nuclear bombs were detonated during World War II, specifically the bombs Little Boy and Fat Man, which were used by the United States over Hiroshima and Nagasaki."
True,True,"In 2016, Quicken Loans launched Rocket Mortgage, one of the first fully online mortgage lenders.",is quicken loans and rocket mortgage the same,"Quicken Loans launched Rocket Mortgage, indicating that they are part of the same company or brand."
True,True,"The Isle of Man is in a one-sided de facto currency union with the United Kingdom: the Manx government has decided to make UK currency legal tender on the island, and to back its own notes and coins with Bank of England notes.",can you use sterling in the isle of man,"The Isle of Man has made UK currency legal tender, which includes sterling."
True,True,"Numerous niche applications exploit the intense color of MG. It is used as a biological stain for microscopic analysis of cell biology and tissue samples. In the Gimenez staining method, basic fuchsin stains bacteria red or magenta, and malachite green is used as a blue-green counterstain. Malachite green is also used in endospore staining, since it can directly stain endospores within bacterial cells; here a safranin counterstain is often used. Malachite green can also be used as a saturable absorber in dye lasers, or as a pH indicator between pH 0.2--1.8. However, this use is relatively rare. Leuco-malachite green (LMG) is used as a detection method for latent blood in forensic science. Hemoglobin catalyzes the reaction between LMG and hydrogen peroxide, converting the colorless LMG into malachite green. Therefore, the appearance of a green color indicates the presence of blood.",can malachite green be used as a counterstain,"The facts state that the Gimenez Staining Method uses Malachite Green as a counterstain, which confirms that Malachite Green can indeed be used as a counterstain."
True,True,"A second season aired from April 1 to June 17, 2017 on MBS and other television networks. Funimation and Crunchyroll streamed the second season on their respective websites, while Adult Swim aired a dubbed version. The opening theme song is ``Opfert eure Herzen!'' (心臓を捧げよ!, Shinzō o Sasageyo!, lit. ``Dedicate Your Hearts!'') by Linked Horizon and the ending theme song is ``Yūgure no Tori'' (夕暮れの鳥) by Shinsei Kamattechan.",is there an attack on titan season 2,"The facts confirm that the second season of Attack on Titan aired from April 1, 2017, to June 17, 2017."
True,True,"Paraffin wax is a soft colourless solid, derived from petroleum, coal or oil shale, that consists of a mixture of hydrocarbon molecules containing between twenty and forty carbon atoms. It is solid at room temperature and begins to melt above approximately 37 °C (99 °F); its boiling point is >370 °C (698 °F). Common applications for paraffin wax include lubrication, electrical insulation, and candles; dyed paraffin wax can be made into crayons. It is distinct from kerosene and other petroleum products that are sometimes called paraffin.",is candle wax a solid at room temperature,"The facts state that paraffin wax is a soft colorless solid, and it has a melting point of 37°C, which indicates that it is solid at room temperature."
True,True,"A persistent rumor is that debossed (imprinted with stamped in letters) dog tags were issued from World War II till the end of the Vietnam War and that currently the U.S. Armed Forces is issuing embossed (imprinted with raised letters) dog tags. In actuality, the U.S. Armed Forces issues dog tags with both types of imprinting, depending on the machine used at a given facility. The military issued 95% of their identification tags up until recently (within the past 10 years) with debossed text.",does the us army still issue dog tags,"The facts state that the Armed Forces issues Dog Tags and that they are currently used by the U.S., indicating that the U.S. Army still issues dog tags."
True,True,"A properly executed lock of this type does not apply torque to the wrist itself. In practice, the bones of the forearm and, eventually, the shoulder are the focus of the lock. If performed correctly, this technique will break the opponents wrist, elbow and dislocate the shoulder. In practice, uke will turn over his own arm in order to prevent his wrist from breaking. The goal of almost all throws executed via joint/bone manipulation, at least from the perspective of some classical (koryu) martial arts, is to break or dislocate a limb(s).",can you break someone's wrist by twisting it,"The facts indicate that a technique can cause injury to the opponent's wrist, and throws are executed via joint and bone manipulation with the goal of breaking or dislocating limbs."
True,True,"During the Beagle survey expedition, the young naturalist Charles Darwin had remarkable success with fossil hunting in Patagonia. On 10 October 1833, at Santa Fe, Argentina, he was ``filled with astonishment'' when he found a horse's tooth in the same stratum as fossil giant armadillos, and wondered if it might have been washed down from a later layer, but concluded this was ``not very probable''. After the expedition returned in 1836, the anatomist Richard Owen confirmed the tooth was from an extinct species, which he subsequently named Equus curvidens, and remarked, ``This evidence of the former existence of a genus, which, as regards South America, had become extinct, and has a second time been introduced into that Continent, is not one of the least interesting fruits of Mr. Darwin's palæontological discoveries.''",are there any predecessors or extinct species horses,"The claim is true because the facts mention the existence of the extinct species Equus Curvidens, which is a predecessor of modern horses."
True,True,"While Robert Hooke's discovery of cells in 1665 led to the proposal of the Cell Theory, Hooke misled the cell membrane theory that all cells contained a hard cell wall since only plant cells could be observed at the time. Microscopists focused on the cell wall for well over 150 years until advances in microscopy were made. In the early 19th century, cells were recognized as being separate entities, unconnected, and bound by individual cell walls after it was found that plant cells could be separated. This theory extended to include animal cells to suggest a universal mechanism for cell protection and development. By the second half of the 19th century, microscopy was still not advanced enough to make a distinction between cell membranes and cell walls. However, some microscopists correctly identified at this time that while invisible, it could be inferred that cell membranes existed in animal cells due to intracellular movement of components internally but not externally and that membranes weren't the equivalent of a cell wall to plant cell. It was also inferred that cell membranes weren't vital components to all cells. Many refuted the existence of a cell membrane still towards the end of the 19th century. In 1890, an update to the Cell Theory stated that cell membranes existed, but were merely secondary structures. It wasn't until later studies with osmosis and permeability that cell membranes gained more recognition. In 1895, Ernest Overton proposed that cell membranes were made of lipids.",does the animal cell have a cell membrane,"The facts state that cell membranes exist in animal cells and that cell theory, updated in 1890, stated that cell membranes exist."
True,True,"Twelve people have won all four major annual American entertainment awards in a competitive, individual (non-group) category of the Emmy, Grammy, Oscar, and Tony Awards. Respectively, these awards honor outstanding achievements in television, recording, film, and theater. Winning all four awards has been referred to as winning the ``grand slam'' of American show business.",has anyone won a tony oscar emmy and grammy,"The claim states that someone has won a Tony, Oscar, Emmy, and Grammy, and the facts confirm that twelve people have won all four major American entertainment awards, which includes these awards."
True,False,"Long and slender, the blue whale's body can be various shades of bluish-grey dorsally and somewhat lighter underneath. There are at least three distinct subspecies: B. m. musculus of the North Atlantic and North Pacific, B. m. intermedia of the Southern Ocean and B. m. brevicauda (also known as the pygmy blue whale) found in the Indian Ocean and South Pacific Ocean. B. m. indica, found in the Indian Ocean, may be another subspecies. As with other baleen whales, its diet consists almost exclusively of small crustaceans known as krill.",are there blue whales in the atlantic ocean,"The provided facts do not mention blue whales being found in the Atlantic Ocean, and they only reference other species and their locations."
False,False,"This article is an incomplete list of the species of mammals, reptiles, amphibians, and fish found in the Sawtooth National Recreation Area in central Idaho. Gray wolves were reintroduced to central Idaho in the 1990s while grizzly bears have been extirpated from the area, and plans to reintroduce them have been abandoned. The Sawtooth National Recreation Area supports habitat for Canada lynx and wolverines, but there have been no recent sightings.",are there grizzly bears in the sawtooth mountains,"Grizzly bears have been extirpated from Central Idaho, and there are no current reintroduction plans."
False,True,"The United States men's national soccer team has played in several World Cup finals, with their best result occurring during their first appearance at the 1930 World Cup, when the United States finished in third place. After the 1950 World Cup, in which the United States upset England in group play 1--0, the U.S. was absent from the finals until 1990. The United States has participated in every World Cup since 1990 until they failed to qualify for the 2018 competition after a loss to Trinidad and Tobago in 2017.",is the united states qualified for the world cup,"The United States has participated in multiple World Cups, indicating that they are qualified to compete in the tournament."
True,True,"The Byzantine Empire, also referred to as the Eastern Roman Empire, was the continuation of the Roman Empire in the East during Late Antiquity and the Middle Ages, when its capital city was Constantinople (modern-day Istanbul, which had been founded as Byzantium). It survived the fragmentation and fall of the Western Roman Empire in the 5th century AD and continued to exist for an additional thousand years until it fell to the Ottoman Turks in 1453. During most of its existence, the empire was the most powerful economic, cultural, and military force in Europe. Both ``Byzantine Empire'' and ``Eastern Roman Empire'' are historiographical terms created after the end of the realm; its citizens continued to refer to their empire as the Roman Empire (Greek: Βασιλεία τῶν Ῥωμαίων, tr. Basileia tôn Rhōmaiōn; Latin: Imperium Romanum), or Romania (Ῥωμανία), and to themselves as ``Romans''.",was the byzantine empire a continuation of the roman empire,The facts state that the Byzantine Empire is also known as the Eastern Roman Empire and is a continuation of the Roman Empire.
False,False,"Large denominations of United States currency greater than $100 were circulated by the United States Treasury until 1969. Since then, U.S. dollar banknotes have only been issued in seven denominations: $1, $2, $5, $10, $20, $50, and $100.",is there a 1 000 bill in circulation,"The facts indicate that the United States Treasury ceased circulation of currency denominations greater than $100 in 1969, and there is no mention of a $1,000 bill being issued or circulated."
True,False,"Following Dostum's departure, Nelson plans to continue operating against the Taliban with his Americans and the few Afghan fighters remaining with them. Encountering a large force of Al-Qaeda and Taliban fighters and armored vehicles, ODA 595, rejoined by Diller and his element, uses air support to eliminate many of the fighters and most of the armor, but are discovered and attacked. Spencer is critically injured by a suicide bomber, and the team is about to be overrun under heavy Taliban and Al-Qaeda pressure when Dostum returns with his forces. Carrying out the US Army's first cavalry charge of the 21st century, the American and Northern Alliance forces disperse the Taliban and Al-Qaeda, and Dostum tracks down and kills Razzan. After Spencer is medevaced, Nelson and Dostum continue to Mazar-i-Sharif but find Atta Muhammad has beaten them there. Against expectations, Dostum and Muhammad meet peacefully and put aside their differences. Impressed by Nelson and the Americans' efforts, Dostum gives Nelson his prized riding crop and tells him that he will always consider Nelson a brother and fellow fighter. Spencer ultimately survives, and all 12 soldiers of ODA 595 return home after 23 days of almost continuous fighting in Afghanistan.",did all the soldiers survive in 12 strong,"The facts indicate that Spencer was injured by a suicide bomber, which implies that not all soldiers survived."
True,True,He opened his first factory in 1870 in Brooklyn using the name Vaseline.,is vaseline the same as white petroleum jelly,"The claim that Vaseline is the same as white petroleum jelly is true, as Vaseline is a brand name for a type of white petroleum jelly."
True,True,The curium-242 isotope was produced in July--August 1944 by bombarding Pu with α-particles to produce curium with the release of a neutron:,curium-242 was synthesized by bombarding an isotope with alpha particles,"The facts state that curium-242 was produced by bombarding plutonium (Pu) with alpha particles, which supports the claim."
